date,revenue,orders,customers,revenue_ma7,revenue_ma30,cumulative_revenue,cumulative_orders
2024-01-01,10892.77,154,114,,,10892.77,154
2024-01-02,9482.0,89,79,,,20374.77,243
2024-01-03,11197.28,150,108,,,31572.050000000003,393
2024-01-04,13109.24,141,122,,,44681.29,534
2024-01-05,9229.66,114,88,,,53910.95,648
2024-01-06,6615.95,72,63,,,60526.899999999994,720
2024-01-07,10591.62,110,96,10159.788571428571,,71118.51999999999,830
2024-01-08,11392.04,110,95,10231.112857142856,,82510.56,940
2024-01-09,8657.24,111,95,10113.289999999999,,91167.8,1051
2024-01-10,10870.17,154,117,10066.56,,102037.97,1205
2024-01-11,8643.54,115,82,9428.602857142858,,110681.51000000001,1320
2024-01-12,8625.05,81,63,9342.23,,119306.56000000001,1401
2024-01-13,7568.66,72,53,9478.33142857143,,126875.22000000002,1473
2024-01-14,2813.9,30,25,8367.228571428572,,129689.12000000001,1503
2024-01-15,5815.17,62,48,7570.532857142856,,135504.29,1565
2024-01-16,8359.94,87,78,7528.061428571428,,143864.23,1652
2024-01-17,7355.83,96,80,7026.012857142857,,151220.06,1748
2024-01-18,10262.62,96,83,7257.3099999999995,,161482.68,1844
2024-01-19,7560.97,87,63,7105.2985714285705,,169043.65,1931
2024-01-20,3839.03,45,39,6572.494285714286,,172882.68,1976
2024-01-21,10158.14,112,99,7621.671428571428,,183040.82,2088
2024-01-22,9024.78,126,100,8080.187142857142,,192065.6,2214
2024-01-23,9657.98,126,103,8265.621428571429,,201723.58000000002,2340
2024-01-24,6363.06,64,55,8123.797142857143,,208086.64,2404
2024-01-25,8288.13,113,83,7841.727142857142,,216374.77000000002,2517
2024-01-26,9718.24,103,82,8149.908571428571,,226093.01,2620
2024-01-27,4330.65,54,42,8220.14,,230423.66,2674
2024-01-28,7678.19,90,66,7865.861428571428,,238101.85,2764
2024-01-29,8119.27,100,77,7736.5028571428575,,246221.12,2864
2024-01-30,8788.17,104,74,7612.244285714286,8500.309666666666,255009.29,2968
2024-01-31,8095.58,82,58,7859.747142857143,8407.07,263104.87,3050
2024-02-01,13484.01,165,120,8602.015714285715,8540.470333333335,276588.88,3215
2024-02-02,9369.18,101,90,8552.15,8479.533666666666,285958.06,3316
2024-02-03,4462.03,50,40,8570.918571428572,8191.293333333333,290420.09,3366
2024-02-04,8588.95,89,79,8701.027142857143,8169.936333333333,299009.04000000004,3455
