customer_id,revenue,customer_type
11861,9887.23,Enterprise VIP
10354,142.13,Retail/SMB
11334,190.94,Retail/SMB
10906,516.72,Retail/SMB
11290,289.25,Retail/SMB
11274,334.06,Retail/SMB
10939,1242.78,Retail/SMB
11732,125.03,Retail/SMB
10066,401.5,Retail/SMB
11324,695.78,Retail/SMB
10057,285.2,Retail/SMB
11293,302.76,Retail/SMB
11119,653.69,Retail/SMB
10585,763.58,Retail/SMB
10375,172.6,Retail/SMB
10276,371.96,Retail/SMB
10747,411.81,Retail/SMB
10129,536.16,Retail/SMB
11647,813.94,Retail/SMB
11853,12428.65,Enterprise VIP
10675,276.74,Retail/SMB
11665,230.73,Retail/SMB
11982,10486.89,Enterprise VIP
11084,271.32,Retail/SMB
11923,7202.96,Enterprise VIP
10100,607.31,Retail/SMB
11180,219.17,Retail/SMB
10965,456.36,Retail/SMB
10793,289.23,Retail/SMB
10030,683.91,Retail/SMB
10629,676.02,Retail/SMB
10945,392.55,Retail/SMB
10573,366.83,Retail/SMB
10908,562.69,Retail/SMB
11081,448.16,Retail/SMB
10451,560.48,Retail/SMB
11610,112.56,Retail/SMB
11291,326.14,Retail/SMB
11079,519.45,Retail/SMB
10255,362.52,Retail/SMB
10125,691.59,Retail/SMB
11928,9879.04,Enterprise VIP
10252,779.96,Retail/SMB
10586,460.43,Retail/SMB
11569,556.47,Retail/SMB
10825,507.75,Retail/SMB
10508,1215.47,Retail/SMB
10890,634.12,Retail/SMB
10071,377.61,Retail/SMB
11609,735.86,Retail/SMB
11533,278.6,Retail/SMB
10248,442.12,Retail/SMB
11451,912.38,Retail/SMB
10213,489.36,Retail/SMB
10910,379.49,Retail/SMB
11742,198.54,Retail/SMB
11245,354.15,Retail/SMB
11697,326.37,Retail/SMB
11183,502.14,Retail/SMB
10362,854.52,Retail/SMB
11474,521.81,Retail/SMB
10679,643.78,Retail/SMB
11622,534.46,Retail/SMB
11090,696.92,Retail/SMB
11988,14041.9,Enterprise VIP
11848,246.97,Retail/SMB
10988,395.33,Retail/SMB
11513,367.44,Retail/SMB
10112,528.03,Retail/SMB
11488,343.34,Retail/SMB
11454,195.18,Retail/SMB
10384,410.19,Retail/SMB
11396,582.01,Retail/SMB
11055,613.8,Retail/SMB
10756,122.73,Retail/SMB
10325,384.94,Retail/SMB
11624,112.81,Retail/SMB
10788,1062.43,Retail/SMB
10369,332.94,Retail/SMB
11820,558.58,Retail/SMB
10070,1188.12,Retail/SMB
10858,416.38,Retail/SMB
11484,234.18,Retail/SMB
11556,376.8,Retail/SMB
11692,305.15,Retail/SMB
11475,808.37,Retail/SMB
11799,830.81,Retail/SMB
10479,274.51,Retail/SMB
10282,486.66,Retail/SMB
11648,301.65,Retail/SMB
11557,374.94,Retail/SMB
11730,378.91,Retail/SMB
10211,413.18,Retail/SMB
10298,293.75,Retail/SMB
11885,13611.31,Enterprise VIP
11834,251.37,Retail/SMB
10652,490.79,Retail/SMB
11234,554.81,Retail/SMB
11503,123.94,Retail/SMB
11932,13959.8,Enterprise VIP
10917,165.62,Retail/SMB
10994,660.03,Retail/SMB
10430,536.82,Retail/SMB
11371,412.12,Retail/SMB
10240,427.14,Retail/SMB
10880,524.64,Retail/SMB
10621,433.61,Retail/SMB
10257,866.7,Retail/SMB
10612,718.58,Retail/SMB
10545,396.41,Retail/SMB
10772,306.37,Retail/SMB
11420,354.07,Retail/SMB
11042,218.49,Retail/SMB
11790,587.27,Retail/SMB
10760,449.43,Retail/SMB
10383,387.22,Retail/SMB
11104,303.08,Retail/SMB
10974,586.4,Retail/SMB
10353,955.27,Retail/SMB
11606,509.91,Retail/SMB
11826,368.6,Retail/SMB
11037,518.04,Retail/SMB
11108,537.69,Retail/SMB
10495,566.27,Retail/SMB
10394,589.66,Retail/SMB
11547,401.61,Retail/SMB
10465,254.66,Retail/SMB
10887,820.59,Retail/SMB
11194,606.64,Retail/SMB
10367,694.9,Retail/SMB
11894,10815.84,Enterprise VIP
11874,11054.25,Enterprise VIP
10745,423.1,Retail/SMB
10530,329.39,Retail/SMB
10803,276.28,Retail/SMB
11224,1035.85,Retail/SMB
11979,12171.54,Enterprise VIP
11906,9978.51,Enterprise VIP
11700,458.81,Retail/SMB
11545,911.26,Retail/SMB
11314,575.63,Retail/SMB
10307,597.64,Retail/SMB
11667,307.44,Retail/SMB
10863,399.8,Retail/SMB
11567,274.16,Retail/SMB
10531,459.64,Retail/SMB
10655,723.69,Retail/SMB
11260,636.52,Retail/SMB
10234,325.28,Retail/SMB
10121,256.31,Retail/SMB
11698,132.92,Retail/SMB
10950,339.4,Retail/SMB
10618,714.95,Retail/SMB
11179,563.49,Retail/SMB
10308,291.74,Retail/SMB
10136,133.17,Retail/SMB
10555,460.19,Retail/SMB
11674,592.56,Retail/SMB
10584,566.85,Retail/SMB
11641,464.32,Retail/SMB
10671,785.01,Retail/SMB
10835,374.31,Retail/SMB
10110,260.42,Retail/SMB
11165,84.18,Retail/SMB
11960,7500.12,Enterprise VIP
11465,562.84,Retail/SMB
11729,447.58,Retail/SMB
11243,245.34,Retail/SMB
10212,358.82,Retail/SMB
11768,205.83,Retail/SMB
11121,590.58,Retail/SMB
10680,164.79,Retail/SMB
11951,9088.61,Enterprise VIP
11839,423.5,Retail/SMB
10412,311.86,Retail/SMB
11325,323.55,Retail/SMB
10783,159.92,Retail/SMB
11346,406.86,Retail/SMB
10875,535.8,Retail/SMB
11653,377.98,Retail/SMB
11279,142.15,Retail/SMB
10786,578.05,Retail/SMB
11819,280.11,Retail/SMB
11199,576.72,Retail/SMB
10808,646.48,Retail/SMB
10713,468.68,Retail/SMB
11991,6965.43,Enterprise VIP
11660,246.46,Retail/SMB
11191,370.46,Retail/SMB
11226,457.52,Retail/SMB
10603,690.29,Retail/SMB
10271,988.05,Retail/SMB
11385,532.32,Retail/SMB
10232,938.66,Retail/SMB
10050,497.52,Retail/SMB
10463,354.89,Retail/SMB
11106,683.59,Retail/SMB
10856,555.83,Retail/SMB
10694,286.71,Retail/SMB
11552,268.69,Retail/SMB
11873,7123.85,Enterprise VIP
10527,849.14,Retail/SMB
10174,298.47,Retail/SMB
10721,454.06,Retail/SMB
10415,449.8,Retail/SMB
10238,738.6,Retail/SMB
11473,575.53,Retail/SMB
11336,834.33,Retail/SMB
11064,152.22,Retail/SMB
10024,460.26,Retail/SMB
11767,342.54,Retail/SMB
10064,508.81,Retail/SMB
10290,633.45,Retail/SMB
10189,489.7,Retail/SMB
10702,386.69,Retail/SMB
11815,649.35,Retail/SMB
11138,377.32,Retail/SMB
10355,821.71,Retail/SMB
10417,149.35,Retail/SMB
11246,416.95,Retail/SMB
10931,337.2,Retail/SMB
10197,660.01,Retail/SMB
10580,645.57,Retail/SMB
11135,160.59,Retail/SMB
11814,457.52,Retail/SMB
11935,7500.02,Enterprise VIP
10434,242.46,Retail/SMB
10101,656.63,Retail/SMB
11655,217.95,Retail/SMB
10395,220.52,Retail/SMB
11939,9546.9,Enterprise VIP
10221,1060.8,Retail/SMB
11676,391.61,Retail/SMB
11498,624.11,Retail/SMB
11785,636.83,Retail/SMB
10345,323.76,Retail/SMB
11028,322.79,Retail/SMB
10889,85.25,Retail/SMB
11351,399.65,Retail/SMB
10553,568.82,Retail/SMB
10744,276.45,Retail/SMB
11542,547.04,Retail/SMB
10539,102.94,Retail/SMB
10907,639.71,Retail/SMB
11395,192.72,Retail/SMB
10116,401.84,Retail/SMB
10830,1248.11,Retail/SMB
11938,11022.73,Enterprise VIP
10809,832.56,Retail/SMB
11311,517.44,Retail/SMB
11005,380.89,Retail/SMB
10306,438.52,Retail/SMB
11101,410.92,Retail/SMB
10480,409.78,Retail/SMB
11424,249.84,Retail/SMB
11076,583.08,Retail/SMB
10571,371.96,Retail/SMB
10619,407.22,Retail/SMB
11898,8845.4,Enterprise VIP
11266,165.5,Retail/SMB
10079,167.06,Retail/SMB
11912,14195.72,Enterprise VIP
10033,289.36,Retail/SMB
11538,494.01,Retail/SMB
11034,389.87,Retail/SMB
11563,404.13,Retail/SMB
10352,511.08,Retail/SMB
10164,180.65,Retail/SMB
10204,468.28,Retail/SMB
11054,389.25,Retail/SMB
11365,681.02,Retail/SMB
11967,13042.37,Enterprise VIP
10496,838.98,Retail/SMB
11625,900.31,Retail/SMB
11966,11062.74,Enterprise VIP
11963,6920.27,Enterprise VIP
10611,411.7,Retail/SMB
10433,184.22,Retail/SMB
11492,292.54,Retail/SMB
10219,422.32,Retail/SMB
11931,12921.9,Enterprise VIP
11466,298.19,Retail/SMB
10631,402.09,Retail/SMB
11382,282.95,Retail/SMB
11302,472.45,Retail/SMB
10060,474.96,Retail/SMB
10299,322.07,Retail/SMB
11711,349.76,Retail/SMB
10074,597.79,Retail/SMB
10163,803.59,Retail/SMB
11275,72.68,Retail/SMB
11594,483.0,Retail/SMB
11434,308.4,Retail/SMB
11613,290.88,Retail/SMB
10592,306.86,Retail/SMB
10317,306.31,Retail/SMB
10046,844.79,Retail/SMB
11720,171.27,Retail/SMB
11832,633.38,Retail/SMB
10428,135.8,Retail/SMB
10582,294.37,Retail/SMB
10077,240.3,Retail/SMB
11917,7585.9,Enterprise VIP
11415,391.05,Retail/SMB
10781,256.16,Retail/SMB
11920,9958.5,Enterprise VIP
11174,558.06,Retail/SMB
11320,427.74,Retail/SMB
10938,723.05,Retail/SMB
10031,489.69,Retail/SMB
11092,325.98,Retail/SMB
11616,63.6,Retail/SMB
11230,834.23,Retail/SMB
10975,331.38,Retail/SMB
11085,298.78,Retail/SMB
10515,534.21,Retail/SMB
11551,565.39,Retail/SMB
11568,198.15,Retail/SMB
11811,968.09,Retail/SMB
11574,484.28,Retail/SMB
10045,409.54,Retail/SMB
11687,959.29,Retail/SMB
10169,852.07,Retail/SMB
10304,306.33,Retail/SMB
10991,715.27,Retail/SMB
10556,586.29,Retail/SMB
11925,9656.3,Enterprise VIP
10608,783.66,Retail/SMB
11619,786.33,Retail/SMB
10758,557.73,Retail/SMB
10439,443.52,Retail/SMB
10583,637.25,Retail/SMB
11519,693.94,Retail/SMB
10528,559.78,Retail/SMB
10343,261.56,Retail/SMB
11737,553.52,Retail/SMB
10368,384.47,Retail/SMB
10186,614.54,Retail/SMB
11117,297.78,Retail/SMB
11755,409.18,Retail/SMB
11426,357.58,Retail/SMB
10301,264.5,Retail/SMB
11904,9501.67,Enterprise VIP
10833,388.41,Retail/SMB
10544,570.77,Retail/SMB
11601,465.65,Retail/SMB
10351,250.48,Retail/SMB
11933,11571.46,Enterprise VIP
11511,560.96,Retail/SMB
10979,692.46,Retail/SMB
10176,624.51,Retail/SMB
10483,373.33,Retail/SMB
11413,527.88,Retail/SMB
11611,304.97,Retail/SMB
10124,218.6,Retail/SMB
10600,847.96,Retail/SMB
11795,289.35,Retail/SMB
11746,505.16,Retail/SMB
11379,271.96,Retail/SMB
11186,871.56,Retail/SMB
10486,453.41,Retail/SMB
10332,116.94,Retail/SMB
10789,301.36,Retail/SMB
10195,414.5,Retail/SMB
10638,388.18,Retail/SMB
10472,316.71,Retail/SMB
11714,903.94,Retail/SMB
10323,301.65,Retail/SMB
11197,587.98,Retail/SMB
10267,314.43,Retail/SMB
11544,217.49,Retail/SMB
11804,480.23,Retail/SMB
10068,411.5,Retail/SMB
11738,284.41,Retail/SMB
11593,865.78,Retail/SMB
11564,527.28,Retail/SMB
10481,468.78,Retail/SMB
11757,518.3,Retail/SMB
11913,9353.51,Enterprise VIP
11441,435.54,Retail/SMB
11461,98.98,Retail/SMB
10888,362.19,Retail/SMB
10423,242.09,Retail/SMB
11675,481.39,Retail/SMB
11450,479.5,Retail/SMB
10765,417.74,Retail/SMB
10520,500.29,Retail/SMB
11432,515.84,Retail/SMB
10614,57.68,Retail/SMB
11531,987.24,Retail/SMB
11783,350.79,Retail/SMB
11659,604.68,Retail/SMB
10454,515.02,Retail/SMB
10731,586.05,Retail/SMB
10535,502.33,Retail/SMB
10966,566.74,Retail/SMB
11285,226.37,Retail/SMB
11740,873.92,Retail/SMB
10262,398.48,Retail/SMB
10536,845.09,Retail/SMB
10969,963.81,Retail/SMB
10241,328.73,Retail/SMB
10820,479.95,Retail/SMB
10693,204.98,Retail/SMB
10421,272.83,Retail/SMB
11086,122.37,Retail/SMB
11999,11167.83,Enterprise VIP
10366,429.03,Retail/SMB
11023,421.63,Retail/SMB
11241,928.82,Retail/SMB
10589,293.62,Retail/SMB
10737,505.07,Retail/SMB
11762,284.28,Retail/SMB
10942,453.86,Retail/SMB
10072,484.38,Retail/SMB
11408,493.46,Retail/SMB
10260,405.43,Retail/SMB
10052,319.46,Retail/SMB
10199,510.96,Retail/SMB
11789,299.32,Retail/SMB
10651,403.64,Retail/SMB
10333,237.73,Retail/SMB
11360,217.87,Retail/SMB
10594,516.66,Retail/SMB
11392,1146.27,Retail/SMB
11801,315.45,Retail/SMB
11315,582.71,Retail/SMB
11112,556.09,Retail/SMB
11007,889.85,Retail/SMB
11327,684.74,Retail/SMB
10427,662.19,Retail/SMB
11559,380.71,Retail/SMB
11294,797.39,Retail/SMB
10591,538.12,Retail/SMB
11958,8686.2,Enterprise VIP
11977,14208.96,Enterprise VIP
11133,573.14,Retail/SMB
10986,652.89,Retail/SMB
10399,342.54,Retail/SMB
11512,236.48,Retail/SMB
10437,457.54,Retail/SMB
10193,714.13,Retail/SMB
11436,1035.42,Retail/SMB
10615,344.84,Retail/SMB
11494,454.62,Retail/SMB
10577,307.29,Retail/SMB
10987,895.33,Retail/SMB
11433,187.81,Retail/SMB
10707,549.8,Retail/SMB
11259,123.23,Retail/SMB
10142,293.59,Retail/SMB
11358,619.01,Retail/SMB
10003,369.38,Retail/SMB
11222,401.19,Retail/SMB
11870,10692.3,Enterprise VIP
11623,1927.16,Retail/SMB
10340,566.23,Retail/SMB
11770,301.22,Retail/SMB
11537,349.97,Retail/SMB
10484,221.4,Retail/SMB
10266,654.27,Retail/SMB
10377,945.05,Retail/SMB
10742,489.12,Retail/SMB
11014,434.83,Retail/SMB
10440,711.45,Retail/SMB
10272,424.62,Retail/SMB
10185,617.82,Retail/SMB
10940,459.7,Retail/SMB
10245,168.98,Retail/SMB
