customer_id,customer_name,segment,signup_date,status
1001,Customer_1001,Retail,2024-12-16,Active
1002,Customer_1002,VIP,2024-08-19,Active
1003,Customer_1003,SMB,2024-08-21,Active
1004,Customer_1004,SMB,2024-01-23,Active
1005,Customer_1005,Retail,2024-05-22,Active
1006,Customer_1006,Retail,2024-06-08,Active
1007,Customer_1007,Retail,2024-09-18,Active
1008,Customer_1008,Enterprise,2024-09-12,Active
1009,Customer_1009,SMB,2024-11-26,Active
1010,Customer_1010,SMB,2024-09-13,Active
1011,Customer_1011,Retail,2024-10-15,Active
1012,Customer_1012,VIP,2024-10-16,Dormant
1013,Customer_1013,Enterprise,2024-07-17,Active
1014,Customer_1014,Retail,2024-07-26,Active
1015,Customer_1015,Retail,2024-05-22,Active
1016,Customer_1016,Retail,2024-10-07,Active
1017,Customer_1017,Retail,2024-05-07,Active
1018,Customer_1018,SMB,2024-09-19,Active
1019,Customer_1019,Retail,2024-08-18,Active
1020,Customer_1020,Retail,2024-11-23,Active
1021,Customer_1021,SMB,2024-02-20,Active
1022,Customer_1022,Retail,2024-07-03,Active
1023,Customer_1023,Retail,2024-02-27,Active
1024,Customer_1024,Retail,2024-10-07,Dormant
1025,Customer_1025,Retail,2024-01-14,Active
1026,Customer_1026,SMB,2024-08-03,Active
1027,Customer_1027,Retail,2024-12-13,Active
1028,Customer_1028,SMB,2024-02-03,Active
1029,Customer_1029,SMB,2024-05-11,Active
1030,Customer_1030,Retail,2024-08-26,Active
1031,Customer_1031,SMB,2024-07-23,Active
1032,Customer_1032,Retail,2024-12-07,Active
1033,Customer_1033,Retail,2024-08-17,Active
1034,Customer_1034,Enterprise,2024-04-22,Active
1035,Customer_1035,VIP,2024-09-13,Active
1036,Customer_1036,Enterprise,2024-02-01,Active
1037,Customer_1037,Retail,2024-10-12,Active
1038,Customer_1038,Retail,2024-02-23,Pending
1039,Customer_1039,SMB,2024-03-10,Active
1040,Customer_1040,Retail,2024-02-27,Active
1041,Customer_1041,Retail,2024-07-13,Active
1042,Customer_1042,Retail,2024-02-03,Dormant
1043,Customer_1043,Retail,2024-11-07,Active
1044,Customer_1044,Enterprise,2024-04-17,Active
1045,Customer_1045,Retail,2024-05-12,Active
1046,Customer_1046,SMB,2024-09-16,Active
1047,Customer_1047,Retail,2024-08-12,Active
1048,Customer_1048,SMB,2024-09-10,Active
1049,Customer_1049,SMB,2024-09-07,Pending
1050,Customer_1050,Retail,2024-04-05,Active
1051,Customer_1051,VIP,2024-01-17,Active
1052,Customer_1052,SMB,2024-03-13,Dormant
1053,Customer_1053,Enterprise,2024-08-18,Active
1054,Customer_1054,Enterprise,2024-04-18,Active
1055,Customer_1055,SMB,2024-05-25,Active
1056,Customer_1056,Enterprise,2024-01-21,Active
1057,Customer_1057,Retail,2024-09-15,Active
1058,Customer_1058,Retail,2024-01-25,Dormant
1059,Customer_1059,Retail,2024-08-04,Active
1060,Customer_1060,Retail,2024-12-27,Active
1061,Customer_1061,Retail,2024-10-05,Active
1062,Customer_1062,Retail,2024-05-11,Pending
1063,Customer_1063,Enterprise,2024-12-06,Dormant
1064,Customer_1064,Retail,2024-07-24,Pending
1065,Customer_1065,Retail,2024-08-11,Active
1066,Customer_1066,SMB,2024-02-25,Active
1067,Customer_1067,Retail,2024-07-20,Active
1068,Customer_1068,Enterprise,2024-04-27,Active
1069,Customer_1069,Retail,2024-08-20,Active
1070,Customer_1070,VIP,2024-06-21,Active
1071,Customer_1071,SMB,2024-03-13,Active
1072,Customer_1072,Retail,2024-10-11,Active
1073,Customer_1073,Retail,2024-02-25,Active
1074,Customer_1074,Enterprise,2024-10-09,Active
1075,Customer_1075,SMB,2024-01-26,Active
1076,Customer_1076,SMB,2024-03-24,Active
1077,Customer_1077,SMB,2024-06-05,Active
1078,Customer_1078,Retail,2024-05-22,Active
1079,Customer_1079,Retail,2024-07-17,Active
1080,Customer_1080,Retail,2024-09-03,Active
1081,Customer_1081,Enterprise,2024-04-26,Active
1082,Customer_1082,SMB,2024-01-27,Dormant
1083,Customer_1083,Retail,2024-10-03,Active
1084,Customer_1084,Retail,2024-02-18,Active
1085,Customer_1085,Retail,2024-01-24,Active
1086,Customer_1086,Retail,2024-03-03,Active
1087,Customer_1087,SMB,2024-06-13,Active
1088,Customer_1088,SMB,2024-08-15,Active
1089,Customer_1089,Enterprise,2024-09-09,Dormant
1090,Customer_1090,Retail,2024-04-14,Active
1091,Customer_1091,Retail,2024-05-02,Pending
1092,Customer_1092,SMB,2024-11-09,Active
1093,Customer_1093,SMB,2024-08-03,Active
1094,Customer_1094,SMB,2024-11-09,Dormant
1095,Customer_1095,SMB,2024-03-25,Active
1096,Customer_1096,Retail,2024-02-12,Active
1097,Customer_1097,SMB,2024-10-09,Active
1098,Customer_1098,Retail,2024-08-25,Active
1099,Customer_1099,Retail,2024-05-11,Active
1100,Customer_1100,Retail,2024-11-02,Active
1101,Customer_1101,Retail,2024-08-15,Active
1102,Customer_1102,SMB,2024-06-08,Active
1103,Customer_1103,Retail,2024-11-05,Active
1104,Customer_1104,SMB,2024-10-18,Active
1105,Customer_1105,Enterprise,2024-06-05,Active
1106,Customer_1106,Retail,2024-12-16,Active
1107,Customer_1107,Retail,2024-12-05,Active
1108,Customer_1108,SMB,2024-01-18,Active
1109,Customer_1109,Retail,2024-08-13,Pending
1110,Customer_1110,Retail,2024-03-26,Active
1111,Customer_1111,Retail,2024-03-24,Active
1112,Customer_1112,Retail,2024-08-02,Active
1113,Customer_1113,Enterprise,2024-08-27,Active
1114,Customer_1114,Enterprise,2024-01-06,Active
1115,Customer_1115,SMB,2024-08-19,Active
1116,Customer_1116,Enterprise,2024-08-01,Active
