customer_id,days_as_customer,total_transactions,purchase_count,total_spent,days_since_last_purchase,customer_region
CUST-10001,890,13,13,3005.53,180,Asia-Pacific
CUST-10002,1074,9,9,1511.71,32,Latin America
CUST-10003,151,23,23,3834.32,26,Europe
CUST-10004,496,22,22,2545.89,25,Asia-Pacific
CUST-10005,360,29,29,5634.4,331,Latin America
CUST-10006,117,5,5,722.71,23,Asia-Pacific
CUST-10007,901,28,28,4967.86,226,Europe
CUST-10008,160,6,6,728.42,57,North America
CUST-10009,799,21,21,3981.32,180,Asia-Pacific
CUST-10010,373,13,13,2736.58,232,Latin America
CUST-10011,835,36,36,2086.13,343,Europe
CUST-10012,415,5,5,1062.05,287,North America
CUST-10013,985,19,19,2784.77,64,Latin America
CUST-10014,306,23,23,4946.15,232,Latin America
CUST-10015,489,13,13,1586.56,289,Latin America
CUST-10016,51,19,19,2095.4,21,Asia-Pacific
CUST-10017,282,12,12,2770.66,258,Europe
CUST-10018,777,19,19,1548.75,18,Latin America
CUST-10019,886,22,22,4728.85,175,Asia-Pacific
CUST-10020,504,12,12,1606.86,229,Europe
CUST-10021,540,16,16,2250.74,226,Europe
CUST-10022,729,3,3,283.22,84,Asia-Pacific
CUST-10023,1005,13,13,2001.15,291,Asia-Pacific
CUST-10024,219,7,7,687.21,179,Latin America
CUST-10025,987,15,15,507.53,246,Europe
CUST-10026,716,34,34,2930.79,110,North America
CUST-10027,987,38,38,1004.54,254,Asia-Pacific
CUST-10028,592,15,15,3676.95,88,Europe
CUST-10029,861,7,7,1696.05,72,Europe
CUST-10030,676,7,7,797.37,30,Latin America
CUST-10031,50,30,30,5666.5,44,North America
CUST-10032,870,15,15,1542.1,309,Latin America
CUST-10033,196,18,18,3167.93,138,North America
CUST-10034,417,15,15,3093.33,343,North America
CUST-10035,630,24,24,5712.48,177,Asia-Pacific
CUST-10036,345,17,17,1955.81,139,Europe
CUST-10037,43,27,27,5433.54,2,Europe
CUST-10038,271,27,27,2290.52,186,Europe
CUST-10039,806,8,8,1982.6,218,North America
CUST-10040,594,21,21,646.76,164,Europe
CUST-10041,927,37,37,5949.38,161,Asia-Pacific
CUST-10042,121,24,24,4161.33,47,North America
CUST-10043,985,22,22,3955.83,13,North America
CUST-10044,538,10,10,520.87,296,North America
CUST-10045,805,10,10,2361.69,89,North America
CUST-10046,64,17,17,1118.03,4,Asia-Pacific
CUST-10047,235,11,11,1816.31,42,Europe
CUST-10048,1055,32,32,2403.27,210,Asia-Pacific
CUST-10049,1051,15,15,1411.86,229,Europe
CUST-10050,595,10,10,1479.53,350,Asia-Pacific
CUST-10051,732,32,32,3803.79,275,Latin America
CUST-10052,431,7,7,427.36,279,Latin America
CUST-10053,759,17,17,1078.83,251,Latin America
CUST-10054,191,11,11,1309.91,54,Latin America
CUST-10055,231,64,64,12504.87,208,North America
CUST-10056,1025,17,17,3859.71,321,North America
CUST-10057,299,9,9,395.36,140,Asia-Pacific
CUST-10058,845,18,18,2042.07,280,Asia-Pacific
CUST-10059,485,15,15,713.33,34,Latin America
CUST-10060,1046,10,10,287.33,309,Europe
CUST-10061,325,32,32,5564.37,18,Latin America
CUST-10062,749,26,26,4174.33,57,Asia-Pacific
CUST-10063,367,21,21,1295.27,112,Latin America
CUST-10064,908,10,10,776.08,5,Asia-Pacific
CUST-10065,821,49,49,1486.38,182,Latin America
CUST-10066,246,22,22,4682.99,13,Europe
CUST-10067,793,11,11,2687.36,339,Latin America
CUST-10068,217,34,34,1886.27,29,Europe
CUST-10069,409,19,19,1464.56,259,Europe
CUST-10070,522,31,31,6832.16,90,Asia-Pacific
CUST-10071,1094,23,23,5369.45,104,Europe
CUST-10072,44,58,58,6926.14,12,North America
CUST-10073,94,8,8,291.12,2,North America
CUST-10074,550,12,12,406.36,108,North America
CUST-10075,677,81,81,12485.24,156,Asia-Pacific
CUST-10076,622,16,16,1814.42,82,North America
